Construct;PercentHead;Time
GFP;97,9829;8
GFP;97,9862;8
GFP;98,0147;8
GFP;98,0299;8
GFP;98,0564;8
GFP;98,0649;8
GFP;98,0703;8
GFP;98,0785;8
GFP;98,082;8
GFP;98,088;8
GFP;98,1269;8
GFP;98,149;8
GFP;98,1697;8
GFP;98,1702;8
GFP;98,1943;8
GFP;98,2078;8
GFP;98,219;8
GFP;98,2256;8
GFP;98,2918;8
GFP;98,3016;8
GFP;98,3248;8
GFP;98,3944;8
GFP;98,3973;8
GFP;98,3996;8
GFP;98,4004;8
GFP;98,4044;8
GFP;98,4348;8
GFP;98,4613;8
GFP;98,4754;8
GFP;98,489;8
GFP;98,5021;8
GFP;98,5103;8
GFP;98,5269;8
GFP;98,5529;8
GFP;98,555;8
GFP;98,5577;8
GFP;98,598;8
GFP;98,6063;8
GFP;98,6733;8
GFP;98,6966;8
GFP;98,7067;8
GFP;98,7094;8
GFP;98,7216;8
GFP;98,7245;8
GFP;98,7518;8
GFP;98,7604;8
GFP;98,7649;8
GFP;98,7911;8
GFP;98,8025;8
GFP;98,8078;8
GFP;98,8083;8
GFP;98,8087;8
GFP;98,8087;8
GFP;98,8126;8
GFP;98,8166;8
GFP;98,829;8
GFP;98,8387;8
GFP;98,8754;8
GFP;98,8789;8
GFP;98,887;8
GFP;98,8977;8
GFP;98,9013;8
GFP;98,9226;8
GFP;98,9316;8
GFP;98,9337;8
GFP;98,9417;8
GFP;98,944;8
GFP;98,9464;8
GFP;98,9785;8
GFP;98,9972;8
GFP;99,0035;8
GFP;99,0143;8
GFP;99,0209;8
GFP;99,0439;8
GFP;99,0599;8
GFP;99,061;8
GFP;99,0738;8
GFP;99,105;8
GFP;99,1156;8
GFP;99,1527;8
GFP;99,1762;8
GFP;99,2236;8
GFP;99,2353;8
GFP;99,2461;8
GFP;99,2482;8
GFP;99,2563;8
GFP;99,2703;8
GFP;99,2715;8
GFP;99,3011;8
GFP;99,3046;8
GFP;99,3151;8
GFP;99,3213;8
GFP;99,328;8
GFP;99,3364;8
GFP;99,342;8
GFP;99,3461;8
GFP;99,3548;8
GFP;99,364;8
GFP;99,3965;8
GFP;99,4351;8
GFP;99,4423;8
GFP;99,4478;8
GFP;99,4588;8
GFP;99,5086;8
GFP;99,5093;8
GFP;99,5232;8
GFP;99,5885;8
GFP;99,5899;8
GFP;99,5949;8
GFP;99,6225;8
GFP;99,6404;8
GFP;99,6839;8
GFP;99,6898;8
GFP;99,7333;8
GFP;99,7548;8
GFP;99,7912;8
GFP;99,8038;8
GFP;99,8067;8
GFP;99,8282;8
GFP;99,8353;8
GFP;99,8462;8
GFP;99,8469;8
GFP;99,8719;8
GFP;99,8985;8
GFP;99,8993;8
GFP;99,9085;8
GFP;99,9102;8
GFP;99,938;8
